------ITER 1------
EPOCH ::: 1
Training Net (8/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:11 | ETA: 0:00:14 | Loss_pi: 4.3700 | Loss_v: 128.714
Training Net (9/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 4.3942 | Loss_v: 129.093
Training Net (10/17) Data: 0.003s | Batch: 1.372s | Total: 0:00:13 | ETA: 0:00:11 | Loss_pi: 4.3775 | Loss_v: 128.772
Training Net (11/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 4.3221 | Loss_v: 128.809
Training Net (12/17) Data: 0.003s | Batch: 1.377s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 4.2932 | Loss_v: 128.703
Training Net (13/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 4.2541 | Loss_v: 128.632
Training Net (14/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 4.2468 | Loss_v: 128.591
Training Net (15/17) Data: 0.003s | Batch: 1.374s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 4.2373 | Loss_v: 128.534
Training Net (16/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:22 | ETA: 0:00:03 | Loss_pi: 4.2270 | Loss_v: 128.541
Training Net (17/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 4.2150 | Loss_v: 128.522
EPOCH ::: 11
Training Net (1/17) Data: 0.002s | Batch: 1.352s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 3.7854 | Loss_v: 128.366
Training Net (2/17) Data: 0.003s | Batch: 1.407s | Total: 0:00:02 | ETA: 0:00:22 | Loss_pi: 3.9118 | Loss_v: 128.403
Training Net (3/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:04 | ETA: 0:00:22 | Loss_pi: 3.9301 | Loss_v: 128.427
Training Net (4/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 3.9893 | Loss_v: 128.432
Training Net (5/17) Data: 0.003s | Batch: 1.385s | Total: 0:00:06 | ETA: 0:00:18 | Loss_pi: 4.0370 | Loss_v: 128.385
Training Net (6/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 4.0310 | Loss_v: 128.333
Training Net (7/17) Data: 0.003s | Batch: 1.382s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 4.0340 | Loss_v: 128.292
Training Net (8/17) Data: 0.003s | Batch: 1.385s | Total: 0:00:11 | ETA: 0:00:14 | Loss_pi: 4.0541 | Loss_v: 128.276
Training Net (9/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 4.0272 | Loss_v: 128.184
Training Net (10/17) Data: 0.003s | Batch: 1.383s | Total: 0:00:13 | ETA: 0:00:12 | Loss_pi: 4.0343 | Loss_v: 128.200
Training Net (11/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 4.0276 | Loss_v: 128.055
